Age of Youngest Offspring,follow
6.465753425,1112
6.457534247,1099
6.317808219,1077
6.309589041,1074
0.517808219,4570
0.660273973,4567
0.063013699,4428
0.010958904,4382
0.002739726,4372
7.15890411,4352
7.153424658,4346
7.147945205,4342
7.120547945,4329
7.117808219,4326
7.112328767,4322
7.106849315,4316
7.104109589,4313
7.098630137,4305
6.361643836,4070
2.997260274,4059
5.468493151,3477
4.232876712,2921
4.230136986,2919
4.224657534,2915
3.849315068,2644
3.306849315,2587
0.419178082,2556
0.4,2542
0.339726027,2486
0.263013699,2436
3.42739726,2374
3.594520548,2376
3.580821918,2351
3.408219178,2338
3.361643836,2255
3.526027397,2252
3.520547945,2242
3.353424658,2240
3.512328767,2227
3.504109589,2214
3.493150685,2201
3.421917808,2152
5.331506849,2149
3.298630137,2120
3.284931507,2100
3.263013699,2087
3.15890411,2061
1.120547945,2046
1.117808219,2042
7.616438356,2039
1.112328767,2034
3.232876712,1997
0.78630137,1954
0.783561644,1949
3.156164384,1875
3.153424658,1869
3.150684932,1864
6.978082192,1848
3.139726027,1845
3.071232877,1810
2.884931507,1784
2.879452055,1776
2.876712329,1774
3.931506849,1754
3.926027397,1750
3,1743
2.997260274,1740
2.991780822,1735
3.838356164,1715
2.821917808,1703
1998.567123,1700
1998.564384,1696
2.81369863,1691
3.819178082,1689
2.77260274,1664
2.846575342,1644
3.734246575,1634
3.728767123,1631
3.726027397,1629
3.717808219,1627
3.706849315,1620
3.704109589,1618
2.630136986,1576
3.608219178,1511
2.523287671,1506
3.605479452,1503
3.602739726,1499
2.517808219,1496
6.016438356,1493
6.01369863,1489
6.010958904,1485
3.509589041,1409
2.498630137,1405
2.575342466,1380
2.547945205,1356
2.378082192,1352
2.536986301,1347
2.534246575,1344
2.367123288,1343
2.421917808,1324
2.331506849,1312
2.323287671,1303
2.380821918,1291
2.378082192,1290
2.37260274,1286
3.183561644,1218
6.589041096,1206
2.161643836,1204
3.167123288,1201
3.164383562,1197
3.043835616,1102
6.284931507,1062
6.210958904,1002
6.052054795,954
2.468493151,898
5.854794521,871
5.846575342,861
5.8,820
5.794520548,816
5.791780822,814
5.783561644,800
2.361643836,792
2.356164384,786
2.326027397,769
5.695890411,757
1.030136986,733
4.893150685,672
4.756164384,602
4.750684932,599
4.621917808,535
4.61369863,530
3.391780822,4176
2.893150685,4007
0.81369863,2857
0.561643836,2705
0.545205479,2688
0.463013699,2579
1.876712329,2292
0.008219178,2223
7.81369863,2190
7.810958904,2187
7.712328767,2106
7.610958904,2031
7.605479452,2023
4.416438356,4584
3.942465753,4537
3.82739726,4496
3.821917808,4492
3.816438356,4484
3.81369863,4478
3.810958904,4472
3.750684932,4447
3.742465753,4433
6.783561644,4211
6.753424658,4188
2.994520548,4058
6.320547945,4054
6.230136986,4010
2.720547945,3880
2.608219178,3813
1.934246575,3417
1.704109589,3292
1.701369863,3286
1.197260274,3095
0.980821918,2967
0.978082192,2966
0.97260274,2962
0.964383562,2955
0.816438356,2860
0.778082192,2828
0.728767123,2807
0.676712329,2755
2.364383562,2677
0.504109589,2632
0.410958904,2550
0.350684932,2497
0.323287671,2473
0.235616438,2424
0.15890411,2390
0.147945205,2384
7.482191781,1865
7.378082192,1777
6.539726027,1541
7.016438356,1497
7.008219178,1483
6.98630137,1469
6.975342466,1461
6.97260274,1458
6.967123288,1453
6.961643836,1448
6.947945205,1435
6.939726027,1427
3.515068493,1416
6.928767123,1414
6.906849315,1381
2.542465753,1351
2.539726027,1349
6.512328767,1143
6.460273973,1104
6.328767123,1081
6.323287671,1079
6.287671233,1065
6.282191781,1059
6.279452055,1055
6.260273973,1036
6.252054795,1027
6.246575342,1021
5.873972603,889
5.808219178,828
5.78630137,805
5.698630137,759
2011.613699,5563
2011.60274,5560
7.145205479,4470
7.142465753,4468
0.065753425,4432
7.035616438,4243
5.268493151,3415
5.232876712,3381
4.512328767,3094
3.419178082,2359
3.41369863,2349
3.410958904,2343
3.564383562,2317
3.515068493,2232
3.416438356,2150
3.22739726,1989
2.580821918,1391
2.57260274,1376
2.569863014,1373
2.531506849,1341
2.523287671,1335
4.616438356,532
6.901369863,134
3.246575342,2146
3.22739726,2124
2.882191781,1779
2.520547945,1500
2.408219178,1379
2.405479452,1375
2.4,1369
2.391780822,1364
2.375342466,1350
2.369863014,1346
2.364383562,1340
2.361643836,1338
2.35890411,1336
2.320547945,1300
5.463013699,3473
3.293150685,2112
2.82739726,1711
3.821917808,1693
3.701369863,1615
3.630136986,1560
3.624657534,1548
3.621917808,1542
3.616438356,1527
3.61369863,1521
6.021917808,1502
2.430136986,1333
2.424657534,1327
2.419178082,1322
2.41369863,1318
2.619178082,3822
5.882191781,3775
5.876712329,3768
5.805479452,3691
5.843835616,3639
2.24109589,3547
2.232876712,3536
2.230136986,3533
0.950684932,2946
0.569863014,2714
7.038356164,1545
2.408219178,1314
0.052054795,464
2.635616438,3835
2.632876712,3833
2.630136986,3832
